Date,Deliveries,Price
Jan-1983,727.4,1.292
Feb-1983,842.4,1.272
Mar-1983,943.4,1.266
Apr-1983,1071.4,1.252
May-1983,1040.2,1.254
Jun-1983,1230.7,1.256
Jul-1983,1358.7,1.251
Aug-1983,1310.5,1.259
Sep-1983,1336.8,1.242
Oct-1983,1059.8,1.247
Nov-1983,912.3,1.245
Dec-1983,722.2,1.244
Jan-1984,782.3,1.239
Feb-1984,879.5,1.237
Mar-1984,963.6,1.238
Apr-1984,994.1,1.244
May-1984,1129.5,1.239
Jun-1984,1257,1.246
Jul-1984,1318,1.243
Aug-1984,1351.9,1.232
Sep-1984,1102.7,1.237
Oct-1984,997.4,1.233
Nov-1984,964.9,1.193
Dec-1984,739.7,1.219
Jan-1985,735.1,1.217
Feb-1985,759.7,1.211
Mar-1985,984.8,1.214
Apr-1985,1050.5,1.212
May-1985,1144.1,1.219
Jun-1985,1240.8,1.217
Jul-1985,1387.8,1.202
Aug-1985,1378.3,1.189
Sep-1985,1002.1,1.195
Oct-1985,992.9,1.189
Nov-1985,837.4,1.183
Dec-1985,837.6,1.17
Jan-1986,848.4,1.162
Feb-1986,742.8,1.172
Mar-1986,895.8,1.115
Apr-1986,1002.3,1.043
May-1986,1049.9,1.022
Jun-1986,1302.1,1.01
Jul-1986,1292.6,0.982
Aug-1986,1213.3,0.949
Sep-1986,1027.7,0.932
Oct-1986,961.4,0.912
Nov-1986,766,0.872
Dec-1986,756.1,0.888
Jan-1987,707.3,0.879
Feb-1987,776.9,0.897
Mar-1987,894.2,0.903
Apr-1987,1096.2,0.898
May-1987,1017.7,0.906
Jun-1987,1168.7,0.913
Jul-1987,1209.7,0.915
Aug-1987,1243.3,0.924
Sep-1987,1092.8,0.919
Oct-1987,1032.6,0.914
Nov-1987,814.3,0.91
Dec-1987,706.1,0.9
Jan-1988,583.5,0.884
Feb-1988,761,0.882
Mar-1988,828.6,0.877
Apr-1988,917.1,0.876
May-1988,1001.1,0.892
Jun-1988,1215.7,0.872
Jul-1988,1224,0.897
Aug-1988,1387.1,0.922
Sep-1988,1114,0.908
Oct-1988,916.5,0.887
Nov-1988,851.3,0.892
Dec-1988,792.2,0.892
Jan-1989,664.6,0.892
Feb-1989,682.4,0.897
Mar-1989,929.4,0.906
Apr-1989,1040,0.991
May-1989,1014.3,1.07
Jun-1989,1182.3,1.071
Jul-1989,1142,1.055
Aug-1989,1169.9,1.019
Sep-1989,1008,1.007
Oct-1989,877,1.004
Nov-1989,780.1,0.986
Dec-1989,622,0.973
Jan-1990,678.6,1.02
Feb-1990,788.2,1.024
Mar-1990,874.7,1.009
Apr-1990,971.5,1.014
May-1990,1020.7,1.036
Jun-1990,1269,1.042
Jul-1990,1231.2,1.039
Aug-1990,1250.4,1.128
Sep-1990,995,1.256
Oct-1990,843,1.344
Nov-1990,766.9,1.317
Dec-1990,574.7,1.225
Jan-1991,643.6,1.121
Feb-1991,658.8,1.064
Mar-1991,718.3,1.013
Apr-1991,860.7,1.012
May-1991,966.5,1.053
Jun-1991,1064.9,1.052
Jul-1991,1134.3,1.036
Aug-1991,1091.4,1.058
Sep-1991,959.7,1.057
Oct-1991,856.8,1.046
Nov-1991,650.6,1.043
Dec-1991,617.9,1.02
Jan-1992,630.2,0.985
Feb-1992,680,0.985
Mar-1992,842.7,0.98
Apr-1992,856.5,0.991
May-1992,964.1,1.024
Jun-1992,1035.8,1.064
Jul-1992,1155.4,1.068
Aug-1992,1077.3,1.057
Sep-1992,943.7,1.049
Oct-1992,845.8,1.043
Nov-1992,656.5,1.034
Dec-1992,629.5,1.013
Jan-1993,517.6,1.003
Feb-1993,650.3,0.999
Mar-1993,747.6,0.994
Apr-1993,814,1.007
May-1993,914.9,1.022
Jun-1993,1035.1,1.025
Jul-1993,1083.4,0.997
Aug-1993,1036.7,0.988
Sep-1993,923.9,0.982
Oct-1993,872.7,0.98
Nov-1993,706.3,0.957
Dec-1993,635.6,0.912
Jan-1994,569.4,0.886
Feb-1994,654.1,0.884
Mar-1994,826,0.89
Apr-1994,845.1,0.913
May-1994,1011.2,0.923
Jun-1994,1101.8,0.956
Jul-1994,1162.4,0.974
Aug-1994,1174.5,1.017
Sep-1994,1052.8,1.011
Oct-1994,842.6,1
Nov-1994,772,1
Dec-1994,632.7,0.992
Jan-1995,564.8,0.996
