Apt,Operations
ABE,"75,485"
ABI,"50,338"
ABQ,"144,044"
ABY,"21,013"
ACK,"71,767"
ACT,"42,321"
ACY,"55,508"
ADM,"17,054"
ADQ,"34,822"
ADS,"103,735"
ADW,"50,572"
AEG,"61,192"
AEX,"30,343"
AFW,"119,090"
AGC,"57,587"
AGS,"30,072"
AHN,"36,790"
AKN,"27,811"
ALB,"72,720"
ALN,"30,862"
ALO,"18,490"
ALW,"27,642"
AMA,"60,985"
ANC,"275,189"
ANE,"75,465"
APA,"337,998"
APC,"50,489"
APF,"110,508"
ARA,"63,433"
ARB,"63,103"
ARR,"54,341"
ASE,"41,238"
ASG,"32,730"
ASH,"63,484"
ATL,"895,502"
ATW,"34,458"
AUS,"210,080"
AVL,"61,298"
AVP,"47,718"
AZO,"42,063"
BAF,"41,015"
BAK,"47,965"
BAZ,"50,660"
BBG,"5,595"
BCT,"73,865"
BDL,"94,641"
BDR,"50,067"
BED,"121,664"
BET,"84,169"
BFI,"183,268"
BFL,"64,797"
BFM,"64,094"
BGM,"15,183"
BGR,"43,669"
BHM,"101,202"
BIL,"88,304"
BIS,"42,217"
BJC,"170,340"
BKL,"34,497"
BKV,"68,558"
BLI,"74,100"
BMG,"29,150"
BMI,"21,111"
BNA,"218,546"
BOI,"137,459"
BOS,"429,334"
BPT,"17,621"
BQN,"38,476"
BRO,"30,315"
BTL,"83,048"
BTR,"55,747"
BTV,"70,236"
BUF,"85,662"
BUR,"132,023"
BVY,"56,803"
BWI,"266,569"
BZN,"91,502"
CAE,"52,862"
CAK,"64,578"
CCR,"109,649"
CDW,"72,428"
CGF,"21,180"
CHA,"61,412"
CHD,"228,589"
CHO,"94,848"
CHS,"114,922"
CIC,"35,896"
CID,"48,601"
CKB,"20,519"
CLE,"126,478"
CLL,"54,892"
CLT,"550,013"
CMA,"140,598"
CMH,"134,782"
CMI,"45,693"
CNO,"204,311"
CNW,"90,302"
COS,"135,831"
COU,"23,336"
CPR,"32,894"
CPS,"95,489"
CRE,"31,353"
CRG,"152,438"
CRP,"100,716"
CRQ,"156,113"
CRW,"31,462"
CSG,"33,254"
CVG,"161,744"
CWA,"12,624"
CWF,"15,955"
CXO,"74,619"
CXY,"22,535"
CYS,"39,841"
DAB,"313,274"
DAL,"231,110"
DAY,"51,402"
DBQ,"56,032"
DCA,"297,048"
DEC,"40,454"
DEN,"603,403"
DET,"34,183"
DFW,"667,213"
DHN,"72,492"
DLH,"63,690"
DPA,"106,249"
DSM,"71,384"
DTN,"40,634"
DTO,"147,777"
DTS,"62,876"
DTW,"393,681"
DVT,"415,166"
DWH,"127,738"
DXR,"46,201"
EAU,"21,836"
ECP,"63,468"
EGE,"41,777"
ELM,"20,112"
ELP,"86,017"
EMT,"85,984"
ENA,"44,383"
ENW,"59,128"
ERI,"25,468"
ESN,"71,410"
EUG,"64,159"
EVB,"168,995"
EVV,"31,480"
EWB,"50,660"
EWN,"36,088"
EWR,"452,021"
EYW,"54,729"
FAI,"112,071"
FAR,"80,206"
